singer	song	lyric	next_lyric
五月天	2012	今天 珍重\n谁知道是真是梦	明天 过后 \n是解答或解脱
五月天	2012	我突然想到 小的时候\n总等着长大 去追的梦	就这么活着 突然西元尽头\n却没有一件 真的去作
邓紫棋	A.I.N.Y.	分开以后每个夜晚 格外的寂静\n滴答滴答 剩大钟在陪着我回忆	电话里头曾经是你最温柔的声音\n现在只有空气 冷漠地回应
陈绮贞	After 17	自从那一天起 我自己做决定\n自从那一天起 不在意谁的否定	自从那一天起 听我说的道理\nWhen I am after 17…
陈绮贞	After 17	自从那一天起 我自己做决定\n自从那一天起 不轻易接受谁的邀请	自从那一天起 听我说的道理\nWhen I am after 17…
林俊杰	Always Online	变色的生活 任性的挑拨\n疯狂的冒出了头	单方的守侯 试探的温柔\n还是少了点什么
蔡健雅	Beautiful Love	你的出现在无意中\n却深深撼动我	一起走着没说什么\n心是满足的
王力宏	Forever Love	爱你 不是因为你的美而已\n我越来越爱你 每个眼神触动我的心	因为你让我看见Forever\n才了解自己
王力宏	Forever Love	Forever love forever love\n我只想用 我这一辈子去爱你	从今以后\n你会是所有 幸福的理由
黄龄	high歌	Yi yi yi \n你不在我不在	yi yi yi \n 谁还会在
王心凌	Honey	点一首歌给Honey甜言蜜语\n隔空传递加上超多表情	更新彼此最新的秘密\n爱要随身听随时感应
王心凌	Honey	多喜欢你叫Honey 甜言蜜语\n在往心里爱你到com写日记 甜蜜点心 	满惊奇都不会腻\n让我往心里用心品味你
王力宏	Julia	Julia Julia \n 不要拖泥又带水	错与对 是与非 \n去面对
蔡依林	Love Love Love	每个女孩都在期待完美的爱情\n小心翼翼又陷下去聪明糊涂心	我的完美真命天子 难道是你\n塔罗牌的 答案很诡异
飞儿乐团	Lydia	Lydia 迷离的眼眶\n为何流浪心碎的海洋	受了伤 连微笑都彷徨\nGypsin女郎 为谁而唱
飞儿乐团	Lydia	你会看见雾 看见云 看见太阳\n触裂的大地重复着悲伤	他走了带不走你的天堂\n风干后会留下彩虹泪光
陶喆	Melody	终于明白你已变成回忆\n没有言语能够说明	当别人问起\n谱了一段旋律没有句点
陶喆	Melody	当时无法为你写的那首歌\n却是我永远的遗憾	当爱逝去\n如果所有的错重来一次
蔡依林	Play我呸	撒哈拉酷热绝对崩溃生存考验\n三天两夜集体K歌歇斯底里的宣泄	芳香精油深度放松无意识催眠\n文艺装逼乱世盛装派对
陈奕迅	Shall We Talk	And shall we talk\n斜阳白赶一趟	沉默令我听得见叶儿声声降
胡彦斌	Waiting For You	Waiting for you I'm waiting for you \n Waiting for 	You Kiss Me At The Night\n为何你Cinderella
莫文蔚	爱	因为我会想起你\n我害怕面对自己	我的意志\n总被寂寞吞食
张杰	爱\n不解释	因为爱就是爱\n不解释 你一定懂 尽在不言中	是感应 是认定\n是心跳的共鸣
林俊杰	爱不会绝迹	宁愿相信爱永不会绝迹\n谁能抹去那些古老传奇	我们手握紧 勇气和信心\n就能够无敌
林俊杰	爱不会绝迹	我站在世界的屋顶\n用放大镜看天地	发现太多的神奇\n一起去寻觅 未知的命运
林俊杰	爱不会绝迹	渴望每个明天绝不放弃\n努力燃烧用不完的活力	幻想的天地解开了奥秘\n心跳永不暂停
张杰	爱不说	都怪我对你的爱不说\n要你日日夜夜的伴着寂寞	都怪我对你的爱不够\n能否多一点时间给我
张杰	爱不说	都怪我对你的爱不说\n却又自私的要你放弃所有	都怪我对你的爱不够\n又不愿放你离开我
薛之谦	爱不走	爱是一团火 轻易点燃我\n要我为你豁出生命 二话不说	爱是一把锁 轻易困住我\n你用你的温柔瞬间把我俘获
王力宏	爱错	从来没爱过 所以爱错 \n我 从那里起飞  从那里降落	多少不能原谅的错 却不能重来过\n翻开回忆角落 完美的生活
张杰	爱到最美是陪伴	渴望的背影是寒冷的无助\n伸出去的手握不住温度	藏了好多话不愿对你倾诉\n攒了许多爱被时间凝固
张杰	爱到最美是陪伴	还有什么能够给你\n还有什么可以改变	烟火等待着黑夜\n风筝依偎着线
张杰	爱到最美是陪伴	一次次的伤害就像谎言\n最痛是怀念从前	一场场歇斯底里的暗战\n沟壑起心的防线
张杰	爱的传奇	明天并不遥远\n追逐的梦从不曾搁浅	重温最初心跳的感觉\n新的明天 一起去发现
张杰	爱的传奇	只想与梦再靠近一些\n亮在前方那道光 多么耀眼	带着出发时候的执念\n阴晴圆缺 在抵达之前
李宗盛	爱的代价	走吧 走吧 人总要学着自己长大\n走吧 走吧 人生难免经历苦痛挣扎	走吧 走吧 为自己的心找一个家\n也曾伤心流泪
李宗盛	爱的代价	走吧 走吧	人总要学着自己长大\n走吧 走吧 人生难免经历苦痛挣扎
张信哲	爱就一个字	拨开天空的乌云\n像蓝丝绒一样美丽	我为你翻山越岭\n却无心看风景
张信哲	爱就一个字	我想你鼓足勇气\n凭爱的地图散播讯息	但愿你没忘记\n我永远保护你
陈芳语	爱你	我闭上眼睛 贴着你心跳呼吸\n而此刻地球 只剩我们而已	你微笑的唇型 总勾着我的心\n每一秒初吻 我每一秒都想要吻你
陈芳语	爱你	就这样爱你 爱你 爱你\n随时都要一起	我喜欢 爱你 外套 味道 还有你的怀里\n把我们 衣服纽扣互扣 那就不用分离
陈芳语	爱你	我喜欢 爱你 外套 味道\n还有你的怀里	把我们 衣服纽扣互扣\n那就不用分离
梁静茹	爱你不是两三天	爱你不是两三天\n每天却想你很多遍	还不习惯孤独街道\n拥挤人潮 没你拥抱
梁静茹	爱你不是两三天	走过夏日街头 还是想牵你的手\n好想听到 一句温暖的问候	虽然我们说好了 还是朋友\n但为什么却没有再联络 爱你不是两三天
王力宏	爱你等于爱自己	淋我淋过的雨 吹你吹过的风\n比风雨还亲蜜	两个人的影子 在同一个天地\n拥有一样的回忆
王力宏	爱你等于爱自己	心想着你 眼看着你\n就像贴近自己	怪不得 拥抱感觉 会越来越熟悉\n是不是爱你就会变成你 oh..Ah..
周杰伦	爱你没差	我占据格林威治守候着你\n在时间标准起点回忆过去	你却在永夜了的极地旅行\n等爱在失温后渐渐死去
莫文蔚	爱情	爱是折磨人的东西\n却又舍不得这样放弃	不停揣测你的心理可有我姓名
蔡依林	爱情36计	爱是一种奇妙的东西\n会让人突然不能呼吸	我需要一个人静一静\n究竟什麽该放弃
蔡依林	爱情36计	不必声明和他的关系\n不用故弄玄虚故意装神秘	爱是一种奇妙的东西\n会让人突然不能呼吸
五月天	爱情的模样	因为你眼光 \n 都化成了荒凉	这世界全部的漂亮
周杰伦	爱情废柴	圣诞节 剩下单人的剩单节\n过条街 最好又给我下起雪	这么衰 这么刚好 这么狼狈\n要不要拍成MV干脆
周杰伦	爱情废柴	踏着雪 不知不觉走了很远\n绕着圈 我叛逆点起一根烟	一整天 我旋律哼了一千遍\n千遍一律我不醉不归
周杰伦	爱情废柴	你的离开 喊得太快\n我的依赖 还在耍赖	眼泪打转 转不回来\n你的笑容灿烂
张韶涵	爱情旅程	忘不了爱走过的旅程\n我依然相信幸福的可能	只有一个人\n我愿意去等
蔡依林	爱情三十六计	是谁说的漂亮女生没大脑\n只懂得爱美和傻笑	你看你说话的表情多麽的骄傲\n难道不怕我Say Sorry Get Out
蔡依林	爱情三十六计	是谁开始先出招 没什么大不了\n见招拆招才重要 敢爱就不要跑	爱情36计就像一场游戏\n我要自己掌握遥控器
蔡依林	爱情三十六计	爱情三十六计就像一场游戏\n我要自己掌握遥控器	爱情三十六计要随时保持美丽\n才能得分不被判出局
薛之谦	爱情宣判	噢 嘿~~~~\n我会把我们的爱情包换了	你知道\n有一天爱把你归还
薛之谦	爱情宣判	你把我约在月光里\n却一个字也不提	我重复着提醒你\n我们相遇在这里
周杰伦	爱情悬崖	我掉进爱情悬崖\n跌太深爬不出来	下降的速度太快\n来不及踏上未来
周杰伦	爱情悬崖	有些事太快 失去了等待\n让爱 没了期待	我们的爱怎么才自然\n每一次沟通不来
陈奕迅	爱情转移	每个人都是这样 享受过提心吊胆\n才拒绝做爱情待罪的羔羊	回忆是抓不到的月光握紧就变黑暗\n等虚假的背影消失于晴朗
陈奕迅	爱情转移	感情需要人接班 接近换来期望\n期望带来失望的恶性循环	短暂的总是浪漫漫长总会不满\n烧完美好青春换一个老伴
陈奕迅	爱情转移	烛光照亮了晚餐 照不出个答案\n恋爱不是温馨的请客吃饭	床单上铺满花瓣 拥抱让它成长\n太拥挤就开到了别的土壤
陈奕迅	爱情转移	徘徊过多少橱窗 住过多少旅馆\n才会觉得分离也并不冤枉	感情是用来浏览 还是用来珍藏\n好让日子 天天都过得难忘
陈奕迅	爱情转移	把一个人的温暖 转移到另一个的胸膛\n让上次犯的错反省出梦想	每个人都是这样 享受过提心吊胆\n才拒绝做爱情待罪的羔羊
陈奕迅	爱情转移	回忆是抓不到的月光握紧就变黑暗\n等虚假的背影消失于晴朗	阳光在身上流转\n等所有业障被原谅
陈奕迅	爱情转移	烛光照亮了晚餐 照不出个答案 \n恋爱不是温馨的请客吃饭	床单上铺满花瓣\n拥抱让它成长
陈奕迅	爱情转移	把一个人的温暖\n转移到另一个的胸膛	让上次犯的错反省出梦想\n每个人都是这样
张信哲	爱如潮水	我再也不愿见你在深夜里买醉\n不愿别的男人见识你的妩媚	你该知道这样会让我心碎\n答应我你从此不在深夜里徘徊
陈奕迅	爱是怀疑	若能推猜这一切的未来\n我干脆辞掉工作买大彩	because 爱是妒忌\n爱是怀疑
陶喆	爱我还是他	你爱我还是他\n是不是真的他有比我好	你为谁在挣扎
陶喆	爱我还是他	你爱我还是他\n是不是真的他有比我好 你为谁在挣扎	你爱我还是他\n就说出你想说的真心话
陶喆	爱我还是他	你爱我还是他\n我为你找了一百个理由	我就是那么傻\n你爱我还是他
陶喆	爱我还是他	黑暗中的我们都没有说话\n你只想回家 不想你回家	寂寞深得像海太让人害怕\n温柔你的手 轻轻揉着我的发
林俊杰	爱笑的眼睛	如果真的遇见你\n你不必讶异我的笑她无法代替	离开你 我才发现自己那爱笑的眼睛\n流了泪当一个人看旧电影 是我不小心而已
林俊杰	爱笑的眼睛	如果不是那镜子\n不像你不藏秘密	我还不肯相信\n没有你我的笑更美丽
林俊杰	爱笑的眼睛	离开你我才找回自己\n那爱笑的眼睛	再见爱情\n我一定让自己让自己决定
周杰伦	爱在西元前	我给你的爱写在西元前\n深埋在美索不达米亚平原	几十个世纪后出土发现\n泥板上的字迹依然清晰可见
周杰伦	爱在西元前	我给你的爱写在西元前 \n 深埋在美索不达米亚平原	几十个世纪后出土发现\n泥板上的字迹依然清晰可见
周杰伦	爱在西元前	经过苏美女神身边 我以女神之名许愿\n思念像底格里斯河般的漫延	当古文明只剩下难解的预言\n传说就成了永垂不朽的诗篇
薛之谦	暧昧	可能是现在感情 太昂贵\n让付出真心的人 好狼狈	还不如听首情歌 的机会 忘了谁\n感情像牛奶一杯 越甜越让人生畏
薛之谦	暧昧	可感情越爱越妩媚\n像烂掉的苹果一堆	连基因都不对\n还在意什么鱼腥味
薛之谦	暧昧	还贪恋着衣衫昂贵\n却输给了廉价香水	他先诱你入位\n还刻意放低了分贝
薛之谦	暧昧	感情像牛奶一杯\n越甜越让人生畏	都早有些防备\n润色前的原味
薛之谦	暧昧	反正现在的我们 算暧昧\n我愿意给的感情 请浪费	反正流过的眼泪 难收回\n就别再安慰
宋冬野	安和桥	我知道 那些夏天 就像青春一样回不来\n代替梦想的也只能是勉为其难	我知道吹过的牛逼也会随青春一笑了之\n让我困在城市里纪念你
宋冬野	安和桥	我知道 吹过的牛逼\n也会随青春一笑了之	让我困在城市里纪念你\n让我再尝一口秋天的酒
宋冬野	安和桥	让我再看你一遍 从南到北\n像是被五环路蒙住的双眼	请你再讲一遍关于那天\n抱着盒子的姑娘和擦汗的男人
宋冬野	安和桥	我知道 那些夏天\n就像你一样回不来	代替梦想的\n也只能是勉为其难
